school,number,race
Oak Grove Elementary,0.028,Asian
Oak Grove Elementary,0.561,Black/African American
Oak Grove Elementary,0.12,Hispanic/Latino
Oak Grove Elementary,0,Indigenous
Oak Grove Elementary,0.223,White
Pearsontown Elementary,0.051,Asian
Pearsontown Elementary,0.409,Black/African American
Pearsontown Elementary,0.107,Hispanic/Latino
Pearsontown Elementary,0,Indigenous
Pearsontown Elementary,0.415,White
W.G. Pearson Elementary,0.021,Asian
W.G. Pearson Elementary,0.597,Black/African American
W.G. Pearson Elementary,0.212,Hispanic/Latino
W.G. Pearson Elementary,0,Indigenous
W.G. Pearson Elementary,0.157,White
Sandy Ridge Elementary,0.014,Asian
Sandy Ridge Elementary,0.619,Black/African American
Sandy Ridge Elementary,0.192,Hispanic/Latino
Sandy Ridge Elementary,0,Indigenous
Sandy Ridge Elementary,0.137,White
R.N. Harris Elementary,0.013,Asian
R.N. Harris Elementary,0.643,Black/African American
R.N. Harris Elementary,0.273,Hispanic/Latino
R.N. Harris Elementary,0,Indigenous
R.N. Harris Elementary,0.015,White
Spring Valley Elementary,0.051,Asian
Spring Valley Elementary,0.361,Black/African American
Spring Valley Elementary,0.077,Hispanic/Latino
Spring Valley Elementary,0,Indigenous
Spring Valley Elementary,0.497,White
Y.E Smith Elementary,0.007,Asian
Y.E Smith Elementary,0.411,Black/African American
Y.E Smith Elementary,0.447,Hispanic/Latino
Y.E Smith Elementary,0,Indigenous
Y.E Smith Elementary,0.109,White
